name,website,address
Juniper Bar - Andaz Delhi,https://bit.ly/3tdrINA,"H43C+VPM, Gin Bar at Andaz Delhi, Northern Access Rd, Aerocity, New Delhi, Delhi 110037، الهند"
The Hangar Lounge & Bar - Aerocity’s Premier bar & Lounge,https://www.ihg.com/holidayinn/hotels/us/en/new-delhi/delap/hoteldetail,"Gate No. 1, Asset Area 12 Hospitality District, Lobby Level, Holiday Inn New Delhi International Airport, Asset Area 12, Hospitality District, Indira Gandhi International Airport, Aerocity, New Delhi, Delhi 110037، الهند"
Only Bar Restaurant,https://www.onlybar.in/,"Shop Number 24, Raj Lok Building, above Indian Bank, Nehru Place, New Delhi, Delhi 110019، الهند"
My Bar Headquarters,https://mybarindia.com/,"N 49, 2nd Floor, Radial Road Number 1, near Dominos, Block N, Connaught Place, New Delhi, Delhi 110001، الهند"
Lord of the Drinks,http://www.lordofthedrinks.in/,"G-72, G-72, Radial Rd Number 2, Block G, Connaught Place, New Delhi, Delhi 110001، الهند"
N/A,No website available,N/A
PCO Bar,No website available,"D-4, D, Block Market, Vasant Vihar, New Delhi, Delhi 110057، الهند"
House of Commons,No website available,"No. M 39 Second Floor, Connaught Cir, opposite Shankar Market, Shankar Market, Block M, Connaught Place, New Delhi, Delhi 110001، الهند"
Ssky Bar & Lounge,No website available,"Floor No. 25, Antariksh Bhavan, KG Marg, Connaught Place, New Delhi, Delhi 110001، الهند"
SIDECAR,https://www.sidecarindia.com/,"M29, GK2, M Block Market, Greater Kailash-2, Right, 110048, next to HDFC Bank, New Delhi, Delhi 110048، الهند"
